                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4315,                  0.125,                      1,                 1.4131,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 1.4164,                  0.125,                      1,                 1.4121,              2.089e-05,              2.089e-05,              2.089e-05
                      3,                 1.4158,                  0.125,                      1,                 1.4092,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      4,                  1.382,                   0.25,                      1,                 1.4053,             4.6269e-05,             4.6269e-05,             4.6269e-05
                      5,                 1.3933,                   0.25,                      1,                 1.3994,             5.7898e-05,             5.7898e-05,             5.7898e-05
                      6,                 1.3194,                   0.25,                      1,                 1.3945,             6.8821e-05,             6.8821e-05,             6.8821e-05
                      7,                 1.2775,                   0.25,                      1,                 1.3897,             7.9036e-05,             7.9036e-05,             7.9036e-05
                      8,                 1.2467,                   0.25,                      1,                 1.3818,             8.8545e-05,             8.8545e-05,             8.8545e-05
                      9,                 1.1924,                   0.25,                      1,                 1.3789,             9.7347e-05,             9.7347e-05,             9.7347e-05
                     10,                 1.2568,                  0.375,                      1,                  1.375,             0.00010544,             0.00010544,             0.00010544
                     11,                 1.1887,                    0.5,                      1,                 1.3721,             0.00011283,             0.00011283,             0.00011283
                     12,                  1.131,                    0.5,                      1,                 1.3691,             0.00011951,             0.00011951,             0.00011951
                     13,                 1.1522,                    0.5,                      1,                 1.3662,             0.00012549,             0.00012549,             0.00012549
                     14,                 1.1668,                    0.5,                      1,                 1.3652,             0.00013075,             0.00013075,             0.00013075
                     15,                 1.0628,                    0.5,                      1,                 1.3603,             0.00013531,             0.00013531,             0.00013531
                     16,                 1.1215,                  0.625,                      1,                 1.3564,             0.00013917,             0.00013917,             0.00013917
                     17,                 1.0581,                    0.5,                      1,                 1.3486,             0.00014231,             0.00014231,             0.00014231
                     18,                0.97022,                    0.5,                      1,                 1.3438,             0.00014475,             0.00014475,             0.00014475
                     19,                 1.0168,                  0.375,                      1,                 1.3379,             0.00014649,             0.00014649,             0.00014649
                     20,                0.99758,                  0.375,                      1,                 1.3301,             0.00014751,             0.00014751,             0.00014751
                     21,                0.90909,                    0.5,                      1,                 1.3242,             0.00014783,             0.00014783,             0.00014783
                     22,                0.92193,                    0.5,                      1,                 1.3184,             0.00014745,             0.00014745,             0.00014745
                     23,                0.89158,                  0.625,                      1,                 1.3106,             0.00014635,             0.00014635,             0.00014635
                     24,                0.84522,                  0.625,                      1,                 1.3047,             0.00014455,             0.00014455,             0.00014455
                     25,                  0.779,                  0.625,                      1,                 1.2949,             0.00014204,             0.00014204,             0.00014204
                     26,                0.82126,                  0.625,                      1,                 1.2891,             0.00013883,             0.00013883,             0.00013883
                     27,                0.80075,                  0.625,                      1,                 1.2812,             0.00013491,             0.00013491,             0.00013491
                     28,                0.72879,                  0.625,                      1,                 1.2812,             0.00013028,             0.00013028,             0.00013028
                     29,                0.70609,                  0.625,                      1,                 1.2764,             0.00012494,             0.00012494,             0.00012494
                     30,                0.75948,                  0.625,                      1,                 1.2695,              0.0001189,              0.0001189,              0.0001189
                     31,                0.75363,                  0.625,                      1,                 1.2695,             0.00011215,             0.00011215,             0.00011215
                     32,                0.73929,                  0.625,                      1,                 1.2647,              0.0001047,              0.0001047,              0.0001047
                     33,                 0.6696,                  0.625,                      1,                 1.2559,             9.6533e-05,             9.6533e-05,             9.6533e-05
                     34,                0.62513,                  0.625,                      1,                 1.2559,             8.7663e-05,             8.7663e-05,             8.7663e-05
                     35,                0.64939,                  0.625,                      1,                 1.2481,             7.8087e-05,             7.8087e-05,             7.8087e-05
                     36,                 0.5847,                  0.625,                      1,                 1.2422,             6.7803e-05,             6.7803e-05,             6.7803e-05
                     37,                0.57071,                  0.625,                      1,                 1.2422,             5.6813e-05,             5.6813e-05,             5.6813e-05
                     38,                0.58192,                  0.625,                      1,                 1.2432,             4.5116e-05,             4.5116e-05,             4.5116e-05
                     39,                0.69334,                  0.625,                      1,                 1.2383,             3.2712e-05,             3.2712e-05,             3.2712e-05
                     40,                0.64638,                  0.625,                      1,                 1.2383,             1.9601e-05,             1.9601e-05,             1.9601e-05
