                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3564,                  0.125,                      1,                 1.4033,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 1.3862,                  0.125,                      1,                 1.4014,             2.1208e-05,             2.1208e-05,             2.1208e-05
                      3,                 1.3756,                  0.125,                      1,                 1.3975,             3.4993e-05,             3.4993e-05,             3.4993e-05
                      4,                 1.4113,                   0.25,                      1,                 1.3926,             4.8496e-05,             4.8496e-05,             4.8496e-05
                      5,                 1.3033,                   0.25,                      1,                 1.3848,             6.1715e-05,             6.1715e-05,             6.1715e-05
                      6,                 1.3023,                   0.25,                      1,                 1.3769,             7.4652e-05,             7.4652e-05,             7.4652e-05
                      7,                 1.3408,                   0.25,                      1,                 1.3662,             8.7306e-05,             8.7306e-05,             8.7306e-05
                      8,                  1.287,                   0.25,                      1,                 1.3545,             9.9678e-05,             9.9678e-05,             9.9678e-05
                      9,                 1.2648,                  0.375,                      1,                 1.3477,             0.00011177,             0.00011177,             0.00011177
                     10,                 1.2302,                  0.375,                      1,                 1.3418,             0.00012357,             0.00012357,             0.00012357
                     11,                 1.2285,                  0.625,                      1,                  1.334,              0.0001351,              0.0001351,              0.0001351
                     12,                 1.1912,                  0.875,                      1,                 1.3272,             0.00014634,             0.00014634,             0.00014634
                     13,                 1.1338,                  0.875,                      1,                 1.3174,             0.00015729,             0.00015729,             0.00015729
                     14,                 1.0952,                  0.875,                      1,                 1.3096,             0.00016797,             0.00016797,             0.00016797
                     15,                 1.2111,                  0.875,                      1,                 1.2978,             0.00017836,             0.00017836,             0.00017836
                     16,                 1.0461,                   0.75,                      1,                 1.2871,             0.00018847,             0.00018847,             0.00018847
                     17,                0.94441,                   0.75,                      1,                 1.2773,              0.0001983,              0.0001983,              0.0001983
                     18,                 0.9716,                   0.75,                      1,                 1.2637,             0.00020784,             0.00020784,             0.00020784
