                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3564,                  0.125,                      1,                 1.4033,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 1.3862,                  0.125,                      1,                 1.4014,             2.0814e-05,             2.0814e-05,             2.0814e-05
                      3,                 1.3759,                  0.125,                      1,                 1.3975,              3.368e-05,              3.368e-05,              3.368e-05
                      4,                  1.412,                   0.25,                      1,                 1.3926,             4.5739e-05,             4.5739e-05,             4.5739e-05
                      5,                 1.3055,                   0.25,                      1,                 1.3857,             5.6989e-05,             5.6989e-05,             5.6989e-05
                      6,                 1.3058,                   0.25,                      1,                 1.3779,             6.7432e-05,             6.7432e-05,             6.7432e-05
                      7,                  1.347,                   0.25,                      1,                 1.3691,             7.7067e-05,             7.7067e-05,             7.7067e-05
                      8,                 1.2948,                   0.25,                      1,                 1.3574,             8.5894e-05,             8.5894e-05,             8.5894e-05
                      9,                 1.2789,                  0.375,                      1,                 1.3516,             9.3913e-05,             9.3913e-05,             9.3913e-05
                     10,                 1.2468,                  0.375,                      1,                 1.3457,             0.00010112,             0.00010112,             0.00010112
                     11,                 1.2485,                  0.375,                      1,                 1.3398,             0.00010753,             0.00010753,             0.00010753
                     12,                 1.2159,                  0.625,                      1,                  1.335,             0.00011312,             0.00011312,             0.00011312
                     13,                 1.1616,                  0.625,                      1,                 1.3272,             0.00011791,             0.00011791,             0.00011791
                     14,                 1.1285,                   0.75,                      1,                 1.3223,             0.00012189,             0.00012189,             0.00012189
                     15,                 1.2513,                  0.875,                      1,                 1.3144,             0.00012506,             0.00012506,             0.00012506
                     16,                 1.0985,                   0.75,                      1,                 1.3076,             0.00012743,             0.00012743,             0.00012743
                     17,                 1.0201,                   0.75,                      1,                 1.3018,             0.00012899,             0.00012899,             0.00012899
                     18,                 1.0498,                   0.75,                      1,                  1.293,             0.00012973,             0.00012973,             0.00012973
                     19,                0.98503,                   0.75,                      1,                 1.2871,             0.00012967,             0.00012967,             0.00012967
                     20,                 1.0432,                   0.75,                      1,                 1.2812,             0.00012881,             0.00012881,             0.00012881
                     21,                 1.0509,                   0.75,                      1,                 1.2725,             0.00012713,             0.00012713,             0.00012713
                     22,                0.93364,                   0.75,                      1,                 1.2656,             0.00012465,             0.00012465,             0.00012465
                     23,                 1.0233,                  0.875,                      1,                 1.2588,             0.00012136,             0.00012136,             0.00012136
                     24,                 0.8719,                  0.875,                      1,                  1.251,             0.00011726,             0.00011726,             0.00011726
                     25,                0.84041,                  0.875,                      1,                 1.2441,             0.00011236,             0.00011236,             0.00011236
                     26,                 0.8845,                   0.75,                      1,                 1.2383,             0.00010664,             0.00010664,             0.00010664
                     27,                0.91149,                   0.75,                      1,                 1.2324,             0.00010012,             0.00010012,             0.00010012
                     28,                0.82075,                   0.75,                      1,                 1.2324,             9.2789e-05,             9.2789e-05,             9.2789e-05
                     29,                0.82291,                  0.875,                      1,                 1.2236,             8.4652e-05,             8.4652e-05,             8.4652e-05
                     30,                 0.8331,                   0.75,                      1,                 1.2197,             7.5706e-05,             7.5706e-05,             7.5706e-05
                     31,                0.84782,                   0.75,                      1,                 1.2197,             6.5953e-05,             6.5953e-05,             6.5953e-05
                     32,                0.78816,                  0.875,                      1,                 1.2148,             5.5392e-05,             5.5392e-05,             5.5392e-05
                     33,                0.81231,                   0.75,                      1,                 1.2109,             4.4023e-05,             4.4023e-05,             4.4023e-05
                     34,                  0.785,                   0.75,                      1,                 1.2109,             3.1846e-05,             3.1846e-05,             3.1846e-05
                     35,                0.80962,                   0.75,                      1,                 1.2119,             1.8862e-05,             1.8862e-05,             1.8862e-05
