                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3564,                  0.125,                      1,                 1.4033,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 1.3862,                  0.125,                      1,                 1.4023,             2.0713e-05,             2.0713e-05,             2.0713e-05
                      3,                 1.3759,                  0.125,                      1,                 1.3975,             3.3344e-05,             3.3344e-05,             3.3344e-05
                      4,                 1.4122,                   0.25,                      1,                 1.3926,             4.5032e-05,             4.5032e-05,             4.5032e-05
                      5,                  1.306,                   0.25,                      1,                 1.3857,             5.5778e-05,             5.5778e-05,             5.5778e-05
                      6,                 1.3068,                   0.25,                      1,                 1.3779,             6.5581e-05,             6.5581e-05,             6.5581e-05
                      7,                 1.3486,                   0.25,                      1,                 1.3691,             7.4442e-05,             7.4442e-05,             7.4442e-05
                      8,                 1.2968,                   0.25,                      1,                 1.3584,              8.236e-05,              8.236e-05,              8.236e-05
                      9,                 1.2826,                  0.375,                      1,                 1.3535,             8.9336e-05,             8.9336e-05,             8.9336e-05
                     10,                 1.2511,                  0.375,                      1,                 1.3477,             9.5369e-05,             9.5369e-05,             9.5369e-05
                     11,                 1.2537,                  0.375,                      1,                 1.3418,             0.00010046,             0.00010046,             0.00010046
                     12,                 1.2223,                  0.625,                      1,                 1.3379,             0.00010461,             0.00010461,             0.00010461
                     13,                 1.1688,                  0.625,                      1,                 1.3301,             0.00010781,             0.00010781,             0.00010781
                     14,                 1.1373,                   0.75,                      1,                 1.3252,             0.00011008,             0.00011008,             0.00011008
                     15,                 1.2619,                  0.875,                      1,                 1.3184,              0.0001114,              0.0001114,              0.0001114
                     16,                 1.1124,                  0.875,                      1,                 1.3125,             0.00011178,             0.00011178,             0.00011178
                     17,                   1.04,                   0.75,                      1,                 1.3076,             0.00011121,             0.00011121,             0.00011121
                     18,                 1.0707,                   0.75,                      1,                 1.3008,             0.00010971,             0.00010971,             0.00010971
                     19,                 1.0105,                   0.75,                      1,                 1.2959,             0.00010726,             0.00010726,             0.00010726
                     20,                 1.0713,                   0.75,                      1,                  1.291,             0.00010387,             0.00010387,             0.00010387
                     21,                 1.0219,                   0.75,                      1,                 1.2842,             9.9532e-05,             9.9532e-05,             9.9532e-05
                     22,                 1.0333,                   0.75,                      1,                 1.2783,             9.4255e-05,             9.4255e-05,             9.4255e-05
                     23,                 1.0174,                   0.75,                      1,                 1.2725,             8.8036e-05,             8.8036e-05,             8.8036e-05
                     24,                0.93314,                   0.75,                      1,                 1.2656,             8.0875e-05,             8.0875e-05,             8.0875e-05
                     25,                 0.9714,                   0.75,                      1,                 1.2627,             7.2771e-05,             7.2771e-05,             7.2771e-05
                     26,                 1.0188,                   0.75,                      1,                 1.2598,             6.3724e-05,             6.3724e-05,             6.3724e-05
                     27,                 0.9787,                   0.75,                      1,                 1.2559,             5.3736e-05,             5.3736e-05,             5.3736e-05
                     28,                0.89654,                   0.75,                      1,                 1.2559,             4.2804e-05,             4.2804e-05,             4.2804e-05
                     29,                0.90477,                   0.75,                      1,                 1.2519,              3.093e-05,              3.093e-05,              3.093e-05
                     30,                 0.9246,                   0.75,                      1,                   1.25,             1.8114e-05,             1.8114e-05,             1.8114e-05
