                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4315,                   0.25,                      1,                 1.4004,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 1.4164,                   0.25,                      1,                 1.3984,             2.0006e-05,             2.0006e-05,             2.0006e-05
                      3,                 1.4163,                   0.25,                      1,                 1.3936,             3.0988e-05,             3.0988e-05,             3.0988e-05
                      4,                 1.3838,                    0.5,                      1,                 1.3867,             4.0084e-05,             4.0084e-05,             4.0084e-05
                      5,                  1.398,                    0.5,                      1,                 1.3799,             4.7295e-05,             4.7295e-05,             4.7295e-05
                      6,                 1.3345,                    0.5,                      1,                  1.374,             5.2622e-05,             5.2622e-05,             5.2622e-05
                      7,                 1.3106,                    0.5,                      1,                 1.3691,             5.6063e-05,             5.6063e-05,             5.6063e-05
                      8,                 1.2704,                    0.5,                      1,                 1.3652,              5.762e-05,              5.762e-05,              5.762e-05
                      9,                 1.2834,                    0.5,                      1,                 1.3662,             5.7291e-05,             5.7291e-05,             5.7291e-05
                     10,                 1.3025,                    0.5,                      1,                 1.3691,             5.5078e-05,             5.5078e-05,             5.5078e-05
                     11,                 1.3275,                    0.5,                      1,                  1.374,              5.098e-05,              5.098e-05,              5.098e-05
                     12,                 1.2112,                    0.5,                      1,                  1.376,             4.4996e-05,             4.4996e-05,             4.4996e-05
                     13,                 1.2188,                    0.5,                      1,                 1.3809,             3.7128e-05,             3.7128e-05,             3.7128e-05
                     14,                 1.2502,                    0.5,                      1,                 1.3828,             2.7375e-05,             2.7375e-05,             2.7375e-05
                     15,                 1.2237,                    0.5,                      1,                 1.3857,             1.5737e-05,             1.5737e-05,             1.5737e-05
